nombre,id,mazo,sueldo,precio,pase,tiro,centrarIzq,centrarDcha,defensaIzq,defensaDcha,entradas,habArriba,habIzquierda,habDerecha,habAbajo,PORTERO,LATERAL_IZQUIERDO,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,LATERAL_DERECHO,EXTREMO_IZQUIERDO,CENTRO_IZQUIERDO,CENTRO_DERECHO,EXTREMO_DERECHO,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,POS1,POS2,POS3,POS4,POS5,POS6,POS7
Leo,24,MAZO1,-1,3,-99,-99,-99,2,-99,2,-99,NONE,NONE,NONE,EQUIPO,0,0,0,0,0,0,0,0,1,0,0,EXTREMO_DERECHO,BREAK,,,,,
"Carter, Ted",28,MAZO1,-1,4,-99,-99,-99,3,-99,2,-99,NONE,CENTRO,NONE,EQUIPO,0,0,0,0,0,0,0,0,1,0,0,EXTREMO_DERECHO,BREAK,,,,,
"Everett, Patrick",29,MAZO1,-1,4,-99,2,-99,1,-99,1,-99,NONE,CENTRO,EQUIPO,PASE,0,0,0,0,0,0,0,0,1,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,EXTREMO_DERECHO,BREAK,,,
"Ross, Julian",38,MAZO1,-1,6,2,1,-99,-99,-99,-99,1,TIRO,CENTRO,NONE,NONE,0,0,1,1,0,0,1,1,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,CENTRO_IZQUIERDO,CENTRO_DERECHO,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK
"Owairan, Mark",34,MAZO1,-1,2,1,-99,-99,-99,-99,-99,1,NONE,EQUIPO,NONE,NONE,0,0,1,1,0,0,0,0,0,0,0,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,,,
"Derrick, Jason",3,MAZO1,-1,4,-99,-99,3,-99,2,-99,-99,PASE,NONE,NONE,PASE,0,1,0,0,0,1,0,0,0,0,0,EXTREMO_IZQUIERDO,LATERAL_IZQUIERDO,BREAK,,,,
"Schmidt, Eric",97,MAZO1,0,3,0,-99,0,0,0,0,0,NONE,EQUIPO,EQUIPO,NONE,0,1,1,1,1,0,0,0,0,0,0,LATERAL_IZQUIERDO,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,LATERAL_DERECHO,BREAK,,
"Margus, Manfred",47,MAZO2,-2,7,-99,6,-99,-99,-99,-99,-99,NONE,NONE,NONE,PASE,0,0,0,0,0,0,0,0,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,BREAK,,,,
"Victorino, Ramon ",40,MAZO2,-2,8,-99,5,-99,-99,-99,-99,-99,TIRO,CENTRO,NONE,NONE,0,0,0,0,0,0,0,0,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,BREAK,,,,
"Peterson, Ralph",2,MAZO2,-2,10,-99,-99,-99,9,-99,9,-99,PASE,EQUIPO,NONE,PASE,0,0,0,0,1,0,0,0,1,0,0,EXTREMO_DERECHO,LATERAL_DERECHO,BREAK,,,,
"Denver, Bob",45,MAZO2,-2,6,3,-99,-99,-99,-99,-99,5,NONE,NONE,NONE,NONE,0,0,1,1,0,0,0,0,0,0,0,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,,,
"Levin, Stefan",23,MAZO2,-2,8,6,-99,-99,-99,-99,-99,5,PASE,EQUIPO,EQUIPO,NONE,0,0,0,0,0,0,1,1,0,0,0,CENTRO_IZQUIERDO,CENTRO_DERECHO,BREAK,,,,
"Warner, Ed",31,MAZO2,-2,9,-99,-99,-99,5,-99,6,7,NONE,NONE,NONE,NONE,1,0,0,0,1,0,0,0,0,0,0,PORTERO,LATERAL_DERECHO,,BREAK,,,
"Schester, Franz",41,MAZO2,-2,8,-99,-99,7,-99,6,-99,-99,NONE,NONE,EQUIPO,PASE,0,0,0,0,0,1,0,0,0,0,0,EXTREMO_IZQUIERDO,BREAK,,,,,
"Harper, Bruce",39,MAZO2,-2,7,4,-99,-99,-99,-99,-99,6,NONE,NONE,EQUIPO,NONE,0,0,1,1,0,0,0,0,0,0,0,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,,,
"Crocker, Alan",35,MAZO2,-2,7,-99,-99,-99,-99,-99,-99,6,NONE,NONE,NONE,NONE,1,0,0,0,0,0,0,0,0,0,0,PORTERO,BREAK,,,,,
Galvan,17,MAZO2,-2,8,-99,-99,5,-99,5,-99,-99,NONE,ENTRADAS,NONE,NONE,0,1,0,0,0,0,0,0,0,0,0,LATERAL_IZQUIERDO,BREAK,,,,,
"Kluivoort, Brian",30,MAZO2,-2,9,7,7,-99,-99,-99,-99,5,NONE,NONE,NONE,NONE,0,0,0,0,0,0,1,1,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,CENTRO_IZQUIERDO,CENTRO_DERECHO,BREAK,,
"Diaz, Juan",21,MAZO2,-2,12,10,-99,-99,10,-99,10,9,NONE,NONE,NONE,PASE,0,0,0,0,0,0,1,1,1,0,0,CENTRO_IZQUIERDO,CENTRO_DERECHO,EXTREMO_DERECHO,BREAK,,,
Natureza,37,MAZO3,-2,12,-99,-99,10,10,9,9,-99,NONE,NONE,CENTRO,NONE,0,0,0,0,0,1,0,0,1,0,0,EXTREMO_IZQUIERDO,EXTREMO_DERECHO,BREAK,,,,
"Montgomery, Steve",16,MAZO3,-2,11,10,-99,-99,-99,-99,-99,9,EQUIPO,NONE,NONE,NONE,0,0,1,1,0,0,0,0,0,0,0,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,,,
"Muller, Deuter",13,MAZO3,-2,10,-99,-99,-99,-99,-99,-99,8,NONE,NONE,NONE,NONE,1,0,0,0,0,0,0,0,0,0,0,PORTERO,BREAK,,,,,
Alberto,36,MAZO3,-2,13,9,-99,8,-99,8,-99,9,NONE,ENTRADAS,NONE,ENTRADAS,0,1,1,1,0,0,0,0,0,0,0,LATERAL_IZQUIERDO,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,,
"Santana, Carlos",9,MAZO3,-2,11,-99,8,-99,-99,-99,-99,-99,TIRO,CENTRO,CENTRO,NONE,0,0,0,0,0,0,0,0,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,BREAK,,,,
"Napoleon, Louis",42,MAZO3,-2,8,-99,6,6,-99,6,-99,-99,NONE,EQUIPO,EQUIPO,PASE,0,0,0,0,0,1,0,0,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,EXTREMO_IZQUIERDO,BREAK,,,
"Hernandez, Gino",22,MAZO3,-2,8,-99,-99,-99,-99,-99,-99,7,NONE,NONE,NONE,NONE,1,0,0,0,0,0,0,0,0,0,0,PORTERO,BREAK,,,,,
"Yuma, Clifford",51,MAZO3,-2,9,6,-99,-99,-99,-99,-99,6,NONE,NONE,NONE,ENTRADAS,0,0,1,1,0,0,0,0,0,0,0,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,,,
"Callahan, Philip",33,MAZO3,-2,10,9,-99,-99,-99,-99,-99,8,EQUIPO,NONE,EQUIPO,EQUIPO,0,0,1,1,0,0,1,1,0,0,0,CENTRO_IZQUIERDO,CENTRO_DERECHO,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,
"Le Blanc, Pierre",10,MAZO3,-2,9,-99,5,-99,6,-99,4,-99,TIRO,NONE,NONE,NONE,0,0,0,0,0,0,0,0,1,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,EXTREMO_DERECHO,BREAK,,,
Denton. Terry,15,MAZO4,-3,15,-99,-99,-99,12,-99,10,-99,NONE,CENTRO,NONE,PASE,0,0,0,0,0,0,0,0,1,0,0,EXTREMO_DERECHO,BREAK,,,,,
"Heinz Schneider, Karl",11,MAZO4,-3,15,11,11,-99,-99,-99,-99,10,PASE,NONE,CENTRO,PASE,0,0,0,0,0,0,1,1,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,CENTRO_IZQUIERDO,CENTRO_DERECHO,BREAK,,
"Gentile, Salvatore",6,MAZO4,-3,16,11,-99,-99,-99,-99,-99,10,NONE,NONE,EQUIPO,ENTRADAS,0,0,1,1,0,0,0,0,0,0,0,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,,,
"Lenders, Mark",19,MAZO4,-3,15,-99,12,-99,-99,-99,-99,-99,NONE,CENTRO,CENTRO,NONE,0,0,0,0,0,0,0,0,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,BREAK,,,,
"Price, Benji",1,MAZO4,-3,15,-99,-99,-99,11,-99,8,12,NONE,NONE,NONE,NONE,1,0,0,0,0,0,0,0,1,0,0,EXTREMO_DERECHO,PORTERO,BREAK,,,,
"Baker, Tom",7,MAZO4,-3,17,11,-99,11,12,10,10,8,NONE,CENTRO,CENTRO,EQUIPO,0,0,0,0,0,1,1,1,1,0,0,EXTREMO_IZQUIERDO,CENTRO_IZQUIERDO,CENTRO_DERECHO,EXTREMO_DERECHO,BREAK,,
"Atom, Oliver",14,MAZO4,-3,18,12,-99,11,-99,10,-99,11,EQUIPO,ENTRADAS,EQUIPO,ENTRADAS,0,1,1,1,0,0,1,1,0,0,0,CENTRO_IZQUIERDO,CENTRO_DERECHO,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,LATERAL_IZQUIERDO,BREAK,
